timestamp,concurrency,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_1440
2025-01-02 02:46:00,43,46.0,35.0,62.0,55.0,29.0,69.0,55.0,32.0,42.0,75.0,70.0
2025-01-02 02:47:00,40,43.0,46.0,35.0,62.0,55.0,29.0,69.0,55.0,32.0,42.0,31.0
2025-01-02 02:48:00,45,40.0,43.0,46.0,35.0,62.0,55.0,29.0,69.0,55.0,32.0,67.0
2025-01-02 02:49:00,52,45.0,40.0,43.0,46.0,35.0,62.0,55.0,29.0,69.0,55.0,38.0
2025-01-02 02:50:00,49,52.0,45.0,40.0,43.0,46.0,35.0,62.0,55.0,29.0,69.0,47.0
2025-01-02 02:51:00,69,49.0,52.0,45.0,40.0,43.0,46.0,35.0,62.0,55.0,29.0,41.0
2025-01-02 02:52:00,39,69.0,49.0,52.0,45.0,40.0,43.0,46.0,35.0,62.0,55.0,53.0
2025-01-02 02:53:00,40,39.0,69.0,49.0,52.0,45.0,40.0,43.0,46.0,35.0,62.0,51.0
2025-01-02 02:54:00,25,40.0,39.0,69.0,49.0,52.0,45.0,40.0,43.0,46.0,35.0,38.0
2025-01-02 02:55:00,59,25.0,40.0,39.0,69.0,49.0,52.0,45.0,40.0,43.0,46.0,43.0
2025-01-02 02:56:00,47,59.0,25.0,40.0,39.0,69.0,49.0,52.0,45.0,40.0,43.0,69.0
2025-01-02 02:57:00,33,47.0,59.0,25.0,40.0,39.0,69.0,49.0,52.0,45.0,40.0,44.0
2025-01-02 02:58:00,28,33.0,47.0,59.0,25.0,40.0,39.0,69.0,49.0,52.0,45.0,43.0
2025-01-02 02:59:00,40,28.0,33.0,47.0,59.0,25.0,40.0,39.0,69.0,49.0,52.0,32.0
2025-01-02 03:00:00,106,40.0,28.0,33.0,47.0,59.0,25.0,40.0,39.0,69.0,49.0,92.0
2025-01-02 03:01:00,78,106.0,40.0,28.0,33.0,47.0,59.0,25.0,40.0,39.0,69.0,83.0
2025-01-02 03:02:00,36,78.0,106.0,40.0,28.0,33.0,47.0,59.0,25.0,40.0,39.0,32.0
2025-01-02 03:03:00,59,36.0,78.0,106.0,40.0,28.0,33.0,47.0,59.0,25.0,40.0,39.0
2025-01-02 03:04:00,67,59.0,36.0,78.0,106.0,40.0,28.0,33.0,47.0,59.0,25.0,83.0
2025-01-02 03:05:00,57,67.0,59.0,36.0,78.0,106.0,40.0,28.0,33.0,47.0,59.0,56.0
2025-01-02 03:06:00,57,57.0,67.0,59.0,36.0,78.0,106.0,40.0,28.0,33.0,47.0,76.0
2025-01-02 03:07:00,55,57.0,57.0,67.0,59.0,36.0,78.0,106.0,40.0,28.0,33.0,81.0
2025-01-02 03:08:00,75,55.0,57.0,57.0,67.0,59.0,36.0,78.0,106.0,40.0,28.0,61.0
2025-01-02 03:09:00,94,75.0,55.0,57.0,57.0,67.0,59.0,36.0,78.0,106.0,40.0,51.0
2025-01-02 03:10:00,54,94.0,75.0,55.0,57.0,57.0,67.0,59.0,36.0,78.0,106.0,80.0
2025-01-02 03:11:00,41,54.0,94.0,75.0,55.0,57.0,57.0,67.0,59.0,36.0,78.0,63.0
2025-01-02 03:12:00,42,41.0,54.0,94.0,75.0,55.0,57.0,57.0,67.0,59.0,36.0,51.0
2025-01-02 03:13:00,44,42.0,41.0,54.0,94.0,75.0,55.0,57.0,57.0,67.0,59.0,47.0
2025-01-02 03:14:00,35,44.0,42.0,41.0,54.0,94.0,75.0,55.0,57.0,57.0,67.0,39.0
2025-01-02 03:15:00,57,35.0,44.0,42.0,41.0,54.0,94.0,75.0,55.0,57.0,57.0,56.0
2025-01-02 03:16:00,49,57.0,35.0,44.0,42.0,41.0,54.0,94.0,75.0,55.0,57.0,73.0
2025-01-02 03:17:00,44,49.0,57.0,35.0,44.0,42.0,41.0,54.0,94.0,75.0,55.0,34.0
2025-01-02 03:18:00,42,44.0,49.0,57.0,35.0,44.0,42.0,41.0,54.0,94.0,75.0,39.0
2025-01-02 03:19:00,61,42.0,44.0,49.0,57.0,35.0,44.0,42.0,41.0,54.0,94.0,28.0
2025-01-02 03:20:00,57,61.0,42.0,44.0,49.0,57.0,35.0,44.0,42.0,41.0,54.0,87.0
2025-01-02 03:21:00,43,57.0,61.0,42.0,44.0,49.0,57.0,35.0,44.0,42.0,41.0,45.0
2025-01-02 03:22:00,63,43.0,57.0,61.0,42.0,44.0,49.0,57.0,35.0,44.0,42.0,59.0
2025-01-02 03:23:00,40,63.0,43.0,57.0,61.0,42.0,44.0,49.0,57.0,35.0,44.0,60.0
2025-01-02 03:24:00,57,40.0,63.0,43.0,57.0,61.0,42.0,44.0,49.0,57.0,35.0,59.0
2025-01-02 03:25:00,47,57.0,40.0,63.0,43.0,57.0,61.0,42.0,44.0,49.0,57.0,50.0
2025-01-02 03:26:00,47,47.0,57.0,40.0,63.0,43.0,57.0,61.0,42.0,44.0,49.0,76.0
2025-01-02 03:27:00,44,47.0,47.0,57.0,40.0,63.0,43.0,57.0,61.0,42.0,44.0,32.0
2025-01-02 03:28:00,42,44.0,47.0,47.0,57.0,40.0,63.0,43.0,57.0,61.0,42.0,50.0
2025-01-02 03:29:00,40,42.0,44.0,47.0,47.0,57.0,40.0,63.0,43.0,57.0,61.0,30.0
2025-01-02 03:30:00,52,40.0,42.0,44.0,47.0,47.0,57.0,40.0,63.0,43.0,57.0,70.0
2025-01-02 03:31:00,58,52.0,40.0,42.0,44.0,47.0,47.0,57.0,40.0,63.0,43.0,43.0
2025-01-02 03:32:00,69,58.0,52.0,40.0,42.0,44.0,47.0,47.0,57.0,40.0,63.0,52.0
2025-01-02 03:33:00,64,69.0,58.0,52.0,40.0,42.0,44.0,47.0,47.0,57.0,40.0,56.0
2025-01-02 03:34:00,64,64.0,69.0,58.0,52.0,40.0,42.0,44.0,47.0,47.0,57.0,59.0
2025-01-02 03:35:00,41,64.0,64.0,69.0,58.0,52.0,40.0,42.0,44.0,47.0,47.0,47.0
2025-01-02 03:36:00,65,41.0,64.0,64.0,69.0,58.0,52.0,40.0,42.0,44.0,47.0,73.0
2025-01-02 03:37:00,49,65.0,41.0,64.0,64.0,69.0,58.0,52.0,40.0,42.0,44.0,44.0
2025-01-02 03:38:00,38,49.0,65.0,41.0,64.0,64.0,69.0,58.0,52.0,40.0,42.0,39.0
2025-01-02 03:39:00,63,38.0,49.0,65.0,41.0,64.0,64.0,69.0,58.0,52.0,40.0,41.0
2025-01-02 03:40:00,84,63.0,38.0,49.0,65.0,41.0,64.0,64.0,69.0,58.0,52.0,68.0
2025-01-02 03:41:00,30,84.0,63.0,38.0,49.0,65.0,41.0,64.0,64.0,69.0,58.0,54.0
2025-01-02 03:42:00,33,30.0,84.0,63.0,38.0,49.0,65.0,41.0,64.0,64.0,69.0,36.0
2025-01-02 03:43:00,67,33.0,30.0,84.0,63.0,38.0,49.0,65.0,41.0,64.0,64.0,77.0
2025-01-02 03:44:00,43,67.0,33.0,30.0,84.0,63.0,38.0,49.0,65.0,41.0,64.0,41.0
2025-01-02 03:45:00,64,43.0,67.0,33.0,30.0,84.0,63.0,38.0,49.0,65.0,41.0,46.0
2025-01-02 03:46:00,45,64.0,43.0,67.0,33.0,30.0,84.0,63.0,38.0,49.0,65.0,63.0
2025-01-02 03:47:00,34,45.0,64.0,43.0,67.0,33.0,30.0,84.0,63.0,38.0,49.0,38.0
2025-01-02 03:48:00,75,34.0,45.0,64.0,43.0,67.0,33.0,30.0,84.0,63.0,38.0,43.0
2025-01-02 03:49:00,43,75.0,34.0,45.0,64.0,43.0,67.0,33.0,30.0,84.0,63.0,38.0
2025-01-02 03:50:00,52,43.0,75.0,34.0,45.0,64.0,43.0,67.0,33.0,30.0,84.0,36.0
